2024-11-24 13:50:30: === Новая сессия трекера ===
2024-11-24 13:50:30: Трекер запущен. Нажимайте клавиши. Для выхода нажмите 'q' затем 'x'
2024-11-24 13:50:31: Нажата клавиша: 'h' (код: 104)
2024-11-24 13:50:31: Нажата клавиша: 'g' (код: 103)
2024-11-24 13:50:31: Нажата клавиша: 'y' (код: 121)
2024-11-24 13:50:31: Нажата клавиша: 'g' (код: 103)
2024-11-24 13:50:32: Нажата клавиша: 'g' (код: 103)
2024-11-24 13:50:32: Нажата клавиша: 'y' (код: 121)
2024-11-24 13:50:32: Нажата клавиша: 'g' (код: 103)
2024-11-24 13:50:32: Нажата клавиша: 'j' (код: 106)
2024-11-24 13:50:32: Нажата клавиша: 'h' (код: 104)
2024-11-24 13:50:32: Нажата клавиша: 'g' (код: 103)
2024-11-24 13:50:33: Нажата клавиша: 'u' (код: 117)
2024-11-24 13:50:33: Нажата клавиша: 'y' (код: 121)
2024-11-24 13:50:33: Нажата клавиша: 'g' (код: 103)
2024-11-24 13:50:33: Нажата клавиша: 'y' (код: 121)
2024-11-24 13:50:33: Нажата клавиша: 'g' (код: 103)
2024-11-24 13:50:33: Нажата клавиша: 'v' (код: 118)
2024-11-24 13:50:33: Нажата клавиша: 'l' (код: 108)
2024-11-24 13:50:33: Нажата клавиша: 'g' (код: 103)
2024-11-24 13:50:33: Нажата клавиша: 'h' (код: 104)
2024-11-24 13:50:33: Нажата клавиша: 'j' (код: 106)
2024-11-24 13:50:33: Нажата клавиша: 'k' (код: 107)
2024-11-24 13:50:33: Нажата клавиша: 'k' (код: 107)
2024-11-24 13:50:33: Нажата клавиша: 'h' (код: 104)
2024-11-24 13:50:34: Нажата клавиша: 'g' (код: 103)
2024-11-24 13:50:34: Нажата клавиша: 'y' (код: 121)
2024-11-24 13:50:34: Нажата клавиша: 'u' (код: 117)
2024-11-24 13:50:34: Нажата клавиша: 'g' (код: 103)
2024-11-24 13:50:34: Нажата клавиша: 'f' (код: 102)
2024-11-24 13:50:34: Нажата клавиша: 'y' (код: 121)
2024-11-24 13:50:45: Нажата клавиша: 'b' (код: 98)
2024-11-24 13:50:45: Нажата клавиша: 's' (код: 115)
2024-11-24 13:50:45: Нажата клавиша: 'd' (код: 100)
